0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
178,36,174,182,12,6,605,66,10,50,18,3,101,312,5,194,19,5
255,222,101,0,80,23,6,205,4,132,158,0,124,60,0,88,8,5
245,135,241,0,138,50,110,119,8,110,79,0,158,233,24,279,62,0
20,418,219,0,12,0,34,306,8,93,92,0,332,138,0,179,32,0
6,11,404,0,0,0,32,129,0,5,0,0,70,255,0,440,0,0
101,2,60,277,0,0,247,17,0,0,0,114,47,179,0,156,0,0
92,164,118,314,28,8,562,133,0,78,71,63,126,344,0,187,0,0
321,44,318,0,9,0,31,136,0,45,16,0,220,178,0,267,0,0
12,50,127,0,70,70,25,53,0,48,45,0,88,203,35,172,34,4
37,8,154,149,32,20,411,20,16,8,0,8,55,312,4,199,36,0
436,76,94,152,10,3,146,91,0,44,23,60,83,92,0,89,0,0
246,38,147,77,1,0,212,83,0,8,4,0,78,196,0,211,0,0
126,29,163,135,0,0,484,41,0,18,1,28,40,393,0,252,0,0
7,88,160,342,0,0,468,145,0,0,48,93,178,312,0,207,0,0
113,1,51,154,0,0,343,13,0,0,0,5,23,279,0,122,0,0
185,17,108,276,32,0,603,15,16,8,0,9,76,404,0,240,32,0
302,44,120,108,11,1,204,52,12,21,2,7,77,138,0,153,16,12
114,50,95,0,36,17,30,88,4,15,35,0,109,166,13,162,7,1
