0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
116,25,197,124,5,0,391,81,0,11,0,0,128,395,0,335,4,0
385,48,118,274,0,0,198,78,0,27,15,103,86,132,0,134,0,0
170,75,210,52,9,0,323,135,0,50,32,0,171,367,0,238,0,0
28,52,174,337,0,0,327,165,0,8,2,92,173,168,0,159,0,0
211,46,136,70,112,44,164,69,31,54,34,0,106,109,26,137,50,17
331,135,138,0,36,7,31,113,2,104,60,0,141,79,0,142,0,3
166,11,164,152,0,0,464,38,0,4,0,0,63,468,0,351,0,0
170,120,174,144,11,0,289,120,0,39,50,0,131,192,0,198,0,0
1,46,397,0,12,7,4,166,0,8,10,0,114,135,0,336,0,1
243,2,62,344,0,0,330,21,0,0,0,136,42,255,0,138,0,0
2,371,117,0,13,0,18,282,7,83,77,0,239,68,0,151,28,0
7,0,10,260,0,0,549,1,0,0,0,40,2,404,0,134,0,0
97,195,100,72,60,13,296,96,0,88,174,0,118,226,0,143,0,0
118,34,222,77,2,0,457,54,0,31,7,0,90,448,0,324,0,0
306,23,114,137,0,0,253,40,0,15,0,15,78,170,0,126,0,0
25,10,239,123,36,19,438,32,9,11,0,4,105,469,4,291,28,0
345,34,257,0,6,0,21,151,0,27,11,0,159,109,0,235,0,0
75,206,25,0,169,108,0,70,29,123,120,0,39,0,51,25,136,6
