0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
91,134,185,173,11,0,272,148,0,37,55,6,161,223,0,277,0,0
44,182,93,108,48,11,369,117,0,91,140,3,100,261,0,131,0,0
105,36,164,186,4,0,552,77,0,49,18,5,105,362,0,139,0,0
74,8,97,183,0,0,518,21,0,2,0,2,44,476,0,327,0,0
368,166,173,0,37,8,19,158,2,123,79,0,168,64,0,164,0,5
3,5,402,0,2,0,26,124,0,0,0,0,108,232,0,412,0,0
395,43,118,378,0,0,288,82,0,28,10,140,99,181,0,144,0,0
24,11,159,410,0,0,417,121,0,3,0,111,143,199,0,140,0,0
0,172,53,0,152,78,7,61,27,101,88,0,54,21,34,43,118,0
435,62,162,36,6,0,165,121,0,31,14,0,134,202,0,201,0,0
3,318,194,0,4,0,33,265,3,50,91,0,246,120,0,201,15,0
401,42,229,3,5,0,95,87,0,25,6,0,133,200,0,275,0,0
147,33,203,94,2,0,444,39,0,32,7,0,74,395,0,273,0,0
105,4,113,267,0,0,550,22,0,5,0,10,72,401,0,278,2,0
204,56,146,52,111,57,105,39,34,42,20,0,89,95,21,123,71,17
9,15,277,68,24,12,362,79,3,9,0,1,147,449,2,348,13,0
291,0,48,208,0,0,331,18,0,0,0,112,27,283,0,86,0,0
97,146,38,0,65,32,0,133,9,55,64,0,81,30,24,35,27,5
