0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
334,62,184,188,2,0,468,68,3,55,17,14,98,257,1,192,7,6
91,66,122,319,2,0,252,109,0,30,26,110,113,150,0,104,0,0
418,44,189,116,2,0,326,104,0,27,6,0,145,317,0,326,0,0
10,34,322,22,6,0,225,143,0,4,5,0,200,535,0,445,0,0
57,1,111,130,0,0,384,10,0,0,0,11,54,269,0,154,0,0
36,24,133,68,3,0,334,30,0,26,7,0,42,205,0,139,0,0
545,44,138,584,3,0,496,89,1,23,5,212,130,293,0,198,3,0
368,210,228,0,26,0,13,212,3,133,68,0,219,86,0,175,0,1
68,61,90,103,11,1,196,37,0,27,33,0,67,116,0,99,0,0
409,31,177,32,1,0,149,75,0,15,2,0,101,220,0,256,0,0
3,30,446,0,2,0,14,207,0,8,7,0,127,197,0,414,0,0
116,24,108,72,88,61,189,23,12,26,20,0,65,137,12,95,49,0
58,9,75,275,0,0,669,21,0,3,4,31,39,518,0,227,0,0
111,48,206,121,6,1,509,46,0,33,15,2,99,586,0,408,0,0
0,170,61,0,146,69,14,41,28,96,72,0,47,37,23,51,118,1
7,282,203,136,0,0,311,269,2,11,118,10,268,243,0,264,3,0
110,202,44,0,84,35,4,162,3,117,134,0,105,22,9,40,9,8
55,91,17,0,89,31,0,66,26,49,53,0,66,6,36,10,57,11
